label group Pseudotime
RamDA_48h_G01 48h 1.69705590648481
RamDA_48h_A04 48h 1.6984858381365
RamDA_48h_G05 48h 1.70209527699754
RamDA_72h_D07 72h 1.70722296574948
RamDA_72h_B12 72h 1.72891431884854
RamDA_72h_G02 72h 1.73059347509069
RamDA_48h_F05 48h 1.73165437791876
RamDA_72h_H10 72h 1.73838422615104
RamDA_48h_F12 48h 1.73878864682416
RamDA_72h_B01 72h 1.74384946520395
RamDA_72h_E07 72h 1.75721588903679
RamDA_72h_H11 72h 1.75761227431931
RamDA_48h_D03 48h 1.7632436441987
RamDA_72h_G03 72h 1.76955028598164
RamDA_48h_H08 48h 1.77683174313343
RamDA_72h_C07 72h 1.78193810062611
RamDA_72h_B04 72h 1.78228936676009
RamDA_72h_C12 72h 1.78230736222841
RamDA_72h_C01 72h 1.79264183836421
RamDA_72h_F09 72h 1.79630092088791
RamDA_72h_B07 72h 1.79763708844611
RamDA_48h_C09 48h 1.80059263041183
RamDA_72h_G08 72h 1.80547296729161
RamDA_48h_D06 48h 1.80804087396807
RamDA_48h_F04 48h 1.80828197179375
RamDA_72h_C11 72h 1.80852866483338
RamDA_72h_B05 72h 1.81262657416672
RamDA_72h_E06 72h 1.81294838167519
RamDA_72h_D12 72h 1.81333686915404
RamDA_72h_E01 72h 1.81664380069498
RamDA_72h_B03 72h 1.81903029214337
RamDA_72h_G12 72h 1.83185542696899
RamDA_72h_C06 72h 1.83296903759988
RamDA_72h_A07 72h 1.83370016222659
RamDA_72h_A04 72h 1.84632986244948
RamDA_72h_H07 72h 1.84703083530647
RamDA_72h_H05 72h 1.84772224299857
RamDA_72h_E10 72h 1.85147394449178
RamDA_72h_C05 72h 1.85441095042884
RamDA_72h_C08 72h 1.85598371219925
RamDA_72h_F03 72h 1.85616691334431
RamDA_72h_F04 72h 1.85699488817681
RamDA_48h_A05 48h 1.85998617167451
RamDA_72h_D03 72h 1.86665241846419
RamDA_72h_F06 72h 1.86688977074735
RamDA_72h_H06 72h 1.8737203445968
RamDA_72h_A08 72h 1.88230058698537
RamDA_48h_E11 48h 1.8861733867161
RamDA_72h_G01 72h 1.88742776782522
RamDA_72h_C10 72h 1.90103987249234
RamDA_72h_G05 72h 1.90626792108899
RamDA_72h_G10 72h 1.9063250003269
RamDA_72h_E02 72h 1.90800898664346
RamDA_72h_B09 72h 1.90988626213891
RamDA_72h_H12 72h 1.91149239249955
RamDA_72h_G07 72h 1.91285760015048
RamDA_72h_E05 72h 1.91343453802424
RamDA_72h_A11 72h 1.91720833286824
RamDA_72h_C09 72h 1.92425031044663
RamDA_72h_C04 72h 1.92444278983335
RamDA_72h_B02 72h 1.92600078212278
RamDA_72h_H08 72h 1.93089001999405
RamDA_72h_F01 72h 1.93368103177222
RamDA_72h_G09 72h 1.9346986228123
RamDA_72h_F05 72h 1.93568250728865
RamDA_72h_H03 72h 1.9425822941408
RamDA_72h_C02 72h 1.94599524999696
RamDA_72h_H09 72h 1.94686499584708
RamDA_72h_E04 72h 1.94724151745497
RamDA_72h_E03 72h 1.96156228433516
RamDA_72h_A09 72h 1.96285867801602
RamDA_72h_D06 72h 1.96781228943934
RamDA_72h_H02 72h 1.96934322061901
RamDA_72h_H01 72h 1.97651781775398
RamDA_72h_A05 72h 1.98051908370031
RamDA_72h_E12 72h 1.98352709861368
RamDA_72h_D01 72h 1.98767894130629
RamDA_72h_E09 72h 1.98885307880199
RamDA_72h_F08 72h 1.99185713546136
RamDA_72h_D04 72h 1.99454337018472
RamDA_72h_G06 72h 1.99669074099356
RamDA_72h_B06 72h 1.99878675538661
RamDA_72h_F12 72h 2.01183589929993
RamDA_72h_G11 72h 2.01614674815646
RamDA_72h_D11 72h 2.02038602668783
RamDA_72h_F02 72h 2.02613500576272
RamDA_72h_D02 72h 2.02979372044022
RamDA_72h_F10 72h 2.03976299349705
RamDA_72h_D09 72h 2.09392571805949
RamDA_72h_C03 72h 2.10507058324285
RamDA_72h_H04 72h 2.13474751136693
