transcript_id	cluster
ENSMUST00000025241.6	6
ENSMUST00000025250.13	6
ENSMUST00000025253.11	7
ENSMUST00000025270.6	7
ENSMUST00000025271.16	6
ENSMUST00000025278.7	4
ENSMUST00000025290.5	1
ENSMUST00000025292.14	6
ENSMUST00000025295.6	5
ENSMUST00000025305.15	6
ENSMUST00000025314.5	7
ENSMUST00000025350.9	2
ENSMUST00000025357.7	4
ENSMUST00000025364.4	4
ENSMUST00000025375.13	7
ENSMUST00000025381.2	6
ENSMUST00000025385.6	6
ENSMUST00000025393.13	4
ENSMUST00000025403.6	5
ENSMUST00000025406.7	6
ENSMUST00000025408.8	6
ENSMUST00000025418.3	6
ENSMUST00000025419.7	1
ENSMUST00000025420.13	4
ENSMUST00000025421.7	6
ENSMUST00000025427.13	6
ENSMUST00000025439.3	1
ENSMUST00000025444.6	7
ENSMUST00000025453.14	4
ENSMUST00000025462.6	2
ENSMUST00000025476.2	4
ENSMUST00000025483.9	6
ENSMUST00000025486.8	6
ENSMUST00000025505.5	1
ENSMUST00000025506.6	7
ENSMUST00000025511.9	6
ENSMUST00000025515.6	4
ENSMUST00000025542.9	2
ENSMUST00000025546.15	6
ENSMUST00000025549.13	1
ENSMUST00000025562.7	7
ENSMUST00000025563.6	7
ENSMUST00000025590.9	4
ENSMUST00000025632.9	6
ENSMUST00000025642.13	6
ENSMUST00000025647.5	4
ENSMUST00000025649.8	4
ENSMUST00000025659.10	7
ENSMUST00000025667.12	4
ENSMUST00000025675.9	3
ENSMUST00000025679.10	1
ENSMUST00000025684.3	4
ENSMUST00000025695.9	4
ENSMUST00000025696.4	4
ENSMUST00000025704.2	5
ENSMUST00000025714.7	7
ENSMUST00000025724.8	1
ENSMUST00000025729.11	4
ENSMUST00000025739.13	4
ENSMUST00000025743.6	5
ENSMUST00000025752.13	4
ENSMUST00000025759.7	7
ENSMUST00000025762.14	5
ENSMUST00000025774.9	6
ENSMUST00000025778.7	5
ENSMUST00000025803.8	4
ENSMUST00000025804.5	4
ENSMUST00000025811.4	4
ENSMUST00000025823.3	4
ENSMUST00000025827.8	1
ENSMUST00000025835.4	2
ENSMUST00000025851.3	7
ENSMUST00000025885.4	6
ENSMUST00000025890.8	4
ENSMUST00000025912.8	2
ENSMUST00000025918.7	6
ENSMUST00000025930.9	6
ENSMUST00000025931.12	4
ENSMUST00000025946.5	1
ENSMUST00000025955.6	7
ENSMUST00000025961.6	7
ENSMUST00000025965.11	5
ENSMUST00000025989.8	4
ENSMUST00000026008.7	6
ENSMUST00000026036.4	2
ENSMUST00000026050.7	4
ENSMUST00000026122.10	4
ENSMUST00000026126.9	5
ENSMUST00000026142.7	4
ENSMUST00000026173.12	4
ENSMUST00000026196.13	5
ENSMUST00000026210.4	7
ENSMUST00000026221.5	1
ENSMUST00000026252.13	2
ENSMUST00000026262.6	3
ENSMUST00000026266.7	1
ENSMUST00000026318.14	1
ENSMUST00000026322.7	7
ENSMUST00000026324.9	1
ENSMUST00000026328.10	4
ENSMUST00000026387.10	4
ENSMUST00000026407.7	4
ENSMUST00000026420.5	6
ENSMUST00000026425.12	6
ENSMUST00000026427.6	3
ENSMUST00000026446.2	4
ENSMUST00000026459.5	6
ENSMUST00000026470.4	2
ENSMUST00000026479.9	4
ENSMUST00000026487.4	4
ENSMUST00000026495.14	6
ENSMUST00000026506.4	6
ENSMUST00000026538.12	2
ENSMUST00000026560.13	6
ENSMUST00000026565.6	5
ENSMUST00000026568.8	3
ENSMUST00000026576.4	5
ENSMUST00000026624.10	4
ENSMUST00000026649.13	4
ENSMUST00000026661.3	4
ENSMUST00000026666.12	4
ENSMUST00000026667.14	7
ENSMUST00000026698.7	4
ENSMUST00000026704.13	6
ENSMUST00000026723.8	1
ENSMUST00000026737.11	4
ENSMUST00000026743.13	6
ENSMUST00000026839.4	1
ENSMUST00000026843.11	5
ENSMUST00000026901.10	6
ENSMUST00000026902.7	1
ENSMUST00000026986.6	2
ENSMUST00000026987.11	4
ENSMUST00000026988.10	1
ENSMUST00000026990.5	7
ENSMUST00000026999.9	2
ENSMUST00000027036.10	2
ENSMUST00000027050.9	7
ENSMUST00000027057.7	6
ENSMUST00000027068.10	4
ENSMUST00000027111.14	5
ENSMUST00000027123.14	6
ENSMUST00000027127.13	7
ENSMUST00000027131.5	4
ENSMUST00000027139.14	6
ENSMUST00000027174.9	7
ENSMUST00000027193.8	5
ENSMUST00000027198.11	6
ENSMUST00000027264.9	7
ENSMUST00000027279.11	1
ENSMUST00000027286.6	4
ENSMUST00000027298.4	4
ENSMUST00000027312.10	7
ENSMUST00000027379.8	5
ENSMUST00000027384.5	6
ENSMUST00000027432.8	6
ENSMUST00000027438.7	6
ENSMUST00000027464.8	7
ENSMUST00000027467.10	4
ENSMUST00000027503.13	5
ENSMUST00000027580.10	4
ENSMUST00000027601.10	5
ENSMUST00000027602.14	5
ENSMUST00000027626.12	7
ENSMUST00000027629.9	5
ENSMUST00000027634.12	6
ENSMUST00000027677.7	1
ENSMUST00000027726.13	6
ENSMUST00000027727.14	4
ENSMUST00000027752.14	4
ENSMUST00000027768.13	7
ENSMUST00000027777.11	5
ENSMUST00000027780.5	4
ENSMUST00000027792.5	4
ENSMUST00000027802.8	2
ENSMUST00000027810.13	7
ENSMUST00000027833.11	4
ENSMUST00000027863.12	1
ENSMUST00000027961.11	7
