label	variable	group	Pseudotime	value	sd
RamDA_00h_D12	cluster_7	00h	0.194209536620278	-0.230586400063231	0.470597955186857
RamDA_00h_E01	cluster_1	00h	0.147751544950781	-0.826661532847604	0.505305307086223
RamDA_00h_E01	cluster_2	00h	0.147751544950781	1.33486617811604	0.142752363503977
RamDA_00h_E01	cluster_3	00h	0.147751544950781	-0.272543271866137	0.710313448244974
RamDA_00h_E01	cluster_4	00h	0.147751544950781	-1.32365217497675	0.176132368433012
RamDA_00h_E01	cluster_5	00h	0.147751544950781	0.995714008013123	0.219800768198449
RamDA_00h_E01	cluster_6	00h	0.147751544950781	0.390543645517966	0.35162998129191
RamDA_00h_E01	cluster_7	00h	0.147751544950781	-0.538311219910492	0.42395028612943
RamDA_00h_E02	cluster_1	00h	0.126828405868096	-0.830510708160366	0.538869188894924
RamDA_00h_E02	cluster_2	00h	0.126828405868096	1.42659425662378	0.134915980080312
RamDA_00h_E02	cluster_3	00h	0.126828405868096	-0.165929684801087	0.771713259675092
RamDA_00h_E02	cluster_4	00h	0.126828405868096	-1.38448592727394	0.19998129615497
RamDA_00h_E02	cluster_5	00h	0.126828405868096	1.00179061019827	0.249154019547129
RamDA_00h_E02	cluster_6	00h	0.126828405868096	0.353079889108061	0.364737394357014
RamDA_00h_E02	cluster_7	00h	0.126828405868096	-0.666905282388691	0.416708744757931
RamDA_00h_E03	cluster_1	00h	0.124846729125212	-0.830856893892532	0.542195054795847
RamDA_00h_E03	cluster_2	00h	0.124846729125212	1.43524484435555	0.135257470966978
RamDA_00h_E03	cluster_3	00h	0.124846729125212	-0.155836065878294	0.777780537360133
